File_ID,File_Name,File_Type,File_Size_KB,AES_Key_Size,RSA_Key_Size,Encryption_Time_ms,Decryption_Time_ms,Transfer_Time_ms,Transfer_Status,Integrity_Check,Security_Level
1,Notes_1.docx,DOCX,2048,256,2048,45,44,121,Success,Pass,Very High
2,Presentation_2.pptx,PPTX,512,256,2048,14,14,39,Success,Pass,Very High
3,Archive_3.zip,ZIP,64,128,4096,6,5,9,Success,Pass,Very High
4,Data_4.xlsx,XLSX,1024,128,4096,17,15,70,Success,Pass,Very High
5,Video_5.mp4,MP4,128,128,2048,10,10,18,Success,Pass,High
6,Image_6.jpg,JPG,4096,128,2048,74,73,213,Success,Pass,High
7,Image_7.jpg,JPG,2048,128,4096,38,37,110,Success,Pass,Very High
8,Audio_8.mp3,MP3,2048,128,2048,34,32,121,Success,Pass,High
9,Presentation_9.pptx,PPTX,768,128,4096,13,11,57,Success,Pass,Very High
10,Video_10.mp4,MP4,768,128,4096,20,20,57,Success,Pass,Very High
11,Video_11.mp4,MP4,768,128,2048,14,12,54,Success,Pass,High
12,Audio_12.mp3,MP3,768,128,4096,15,15,46,Success,Pass,Very High
13,Data_13.xlsx,XLSX,64,128,2048,5,4,16,Success,Pass,High
14,Video_14.mp4,MP4,1024,256,4096,30,30,68,Success,Pass,Very High
15,Database_15.sql,SQL,256,256,4096,14,14,21,Success,Pass,Very High
16,Database_16.sql,SQL,2048,128,4096,34,34,122,Success,Pass,Very High
17,Video_17.mp4,MP4,2048,128,4096,39,37,113,Success,Pass,Very High
18,Image_18.jpg,JPG,2048,256,2048,42,42,122,Success,Pass,Very High
19,Archive_19.zip,ZIP,1024,128,2048,21,20,56,Success,Pass,High
20,Notes_20.docx,DOCX,2048,128,2048,39,38,109,Success,Pass,High
21,Report_21.pdf,PDF,1024,128,2048,20,20,62,Success,Pass,High
22,Source_Code_22.cpp,CPP,768,256,4096,22,22,53,Success,Pass,Very High
23,Video_23.mp4,MP4,4096,128,2048,72,71,222,Success,Pass,High
24,Notes_24.docx,DOCX,64,128,2048,5,4,9,Success,Pass,High
25,Presentation_25.pptx,PPTX,512,256,4096,19,19,35,Success,Pass,Very High
26,Video_26.mp4,MP4,512,128,2048,15,14,36,Success,Pass,High
27,Video_27.mp4,MP4,768,256,2048,23,22,44,Success,Pass,Very High
28,Video_28.mp4,MP4,64,128,2048,6,5,23,Success,Pass,High
29,Presentation_29.pptx,PPTX,128,256,4096,13,13,14,Success,Pass,Very High
30,Notes_30.docx,DOCX,4096,128,2048,74,74,209,Success,Pass,High
31,Image_31.jpg,JPG,512,256,2048,13,13,44,Success,Pass,Very High
32,Source_Code_32.cpp,CPP,768,256,4096,20,20,53,Success,Pass,Very High
33,Database_33.sql,SQL,128,256,2048,14,12,12,Success,Pass,Very High
34,Video_34.mp4,MP4,2048,128,4096,38,36,111,Success,Pass,Very High
35,Data_35.xlsx,XLSX,1500,256,4096,34,32,89,Success,Pass,Very High
36,Presentation_36.pptx,PPTX,1500,256,4096,37,36,90,Success,Pass,Very High
37,Presentation_37.pptx,PPTX,1024,256,2048,24,23,61,Success,Pass,Very High
38,Presentation_38.pptx,PPTX,2048,256,2048,42,40,113,Success,Pass,Very High
39,Database_39.sql,SQL,1024,256,4096,27,25,63,Success,Pass,Very High
40,Archive_40.zip,ZIP,512,128,4096,13,13,31,Success,Pass,Very High
41,Archive_41.zip,ZIP,256,128,2048,8,7,30,Success,Pass,High
42,Data_42.xlsx,XLSX,256,128,2048,8,8,32,Success,Pass,High
43,Image_43.jpg,JPG,512,128,2048,16,16,42,Success,Pass,High
44,Data_44.xlsx,XLSX,128,256,4096,14,12,16,Success,Pass,Very High
45,Image_45.jpg,JPG,2048,128,2048,41,40,119,Success,Pass,High
46,Image_46.jpg,JPG,1024,128,2048,20,20,58,Success,Pass,High
47,Archive_47.zip,ZIP,1500,256,4096,33,33,83,Success,Pass,Very High
48,Notes_48.docx,DOCX,512,256,4096,19,18,41,Success,Pass,Very High
49,Image_49.jpg,JPG,1024,256,2048,23,22,63,Success,Pass,Very High
50,Image_50.jpg,JPG,128,128,4096,5,3,18,Success,Pass,Very High
51,Archive_51.zip,ZIP,256,128,4096,8,6,23,Success,Pass,Very High
52,Source_Code_52.cpp,CPP,128,128,2048,5,5,26,Success,Pass,High
53,Notes_53.docx,DOCX,1024,128,2048,17,15,70,Success,Pass,High
54,Notes_54.docx,DOCX,768,256,4096,20,18,53,Success,Pass,Very High
55,Image_55.jpg,JPG,2048,256,4096,39,38,119,Success,Pass,Very High
56,Report_56.pdf,PDF,256,128,4096,12,11,17,Success,Pass,Very High
57,Database_57.sql,SQL,1500,256,2048,30,28,86,Success,Pass,Very High
58,Presentation_58.pptx,PPTX,1024,256,4096,29,27,63,Success,Pass,Very High
59,Audio_59.mp3,MP3,1500,256,4096,33,32,80,Success,Pass,Very High
60,Notes_60.docx,DOCX,128,128,2048,5,3,18,Success,Pass,High
61,Archive_61.zip,ZIP,2048,256,2048,44,44,107,Success,Pass,Very High
62,Database_62.sql,SQL,768,128,2048,18,16,57,Success,Pass,High
63,Data_63.xlsx,XLSX,256,256,4096,16,15,32,Success,Pass,Very High
64,Notes_64.docx,DOCX,512,128,2048,11,9,41,Success,Pass,High
65,Audio_65.mp3,MP3,512,128,4096,13,13,31,Success,Pass,Very High
66,Archive_66.zip,ZIP,256,256,2048,14,12,18,Success,Pass,Very High
67,Report_67.pdf,PDF,768,256,4096,19,17,56,Success,Pass,Very High
68,Presentation_68.pptx,PPTX,4096,128,4096,74,73,217,Success,Pass,Very High
69,Audio_69.mp3,MP3,256,128,2048,10,10,20,Success,Pass,High
70,Audio_70.mp3,MP3,64,256,2048,6,4,14,Success,Pass,Very High
71,Image_71.jpg,JPG,4096,256,2048,75,73,217,Success,Pass,Very High
72,Notes_72.docx,DOCX,768,256,2048,24,22,53,Success,Pass,Very High
73,Report_73.pdf,PDF,64,256,4096,13,12,15,Success,Pass,Very High
74,Notes_74.docx,DOCX,2048,256,4096,43,43,119,Success,Pass,Very High
75,Archive_75.zip,ZIP,64,128,2048,5,4,8,Success,Pass,High
76,Video_76.mp4,MP4,2048,128,4096,37,37,108,Success,Pass,Very High
77,Image_77.jpg,JPG,768,128,2048,17,15,51,Success,Pass,High
78,Archive_78.zip,ZIP,512,256,4096,16,14,41,Success,Pass,Very High
79,Archive_79.zip,ZIP,128,128,4096,5,3,26,Success,Pass,Very High
80,Data_80.xlsx,XLSX,128,128,4096,7,5,23,Success,Pass,Very High
81,Presentation_81.pptx,PPTX,768,256,4096,22,21,44,Success,Pass,Very High
82,Image_82.jpg,JPG,1500,256,4096,30,28,87,Success,Pass,Very High
83,Data_83.xlsx,XLSX,256,128,4096,7,6,29,Success,Pass,Very High
84,Archive_84.zip,ZIP,128,256,2048,12,11,15,Success,Pass,Very High
85,Archive_85.zip,ZIP,768,128,4096,13,13,45,Success,Pass,Very High
86,Video_86.mp4,MP4,512,256,2048,18,16,38,Success,Pass,Very High
87,Audio_87.mp3,MP3,2048,256,2048,47,46,107,Success,Pass,Very High
88,Report_88.pdf,PDF,1024,128,2048,24,23,68,Success,Pass,High
89,Presentation_89.pptx,PPTX,2048,128,2048,37,36,109,Success,Pass,High
90,Audio_90.mp3,MP3,4096,256,4096,76,75,218,Success,Pass,Very High
91,Source_Code_91.cpp,CPP,2048,256,2048,43,43,117,Success,Pass,Very High
92,Audio_92.mp3,MP3,2048,128,2048,40,39,115,Success,Pass,High
93,Presentation_93.pptx,PPTX,1024,128,2048,23,21,70,Success,Pass,High
94,Report_94.pdf,PDF,2048,256,4096,39,38,109,Success,Pass,Very High
95,Archive_95.zip,ZIP,2048,256,2048,42,40,111,Success,Pass,Very High
96,Video_96.mp4,MP4,4096,128,4096,70,70,223,Success,Pass,Very High
97,Presentation_97.pptx,PPTX,1500,256,2048,36,36,85,Success,Pass,Very High
98,Notes_98.docx,DOCX,128,128,2048,9,8,22,Success,Pass,High
99,Video_99.mp4,MP4,768,256,4096,17,16,46,Success,Pass,Very High
100,Presentation_100.pptx,PPTX,4096,256,2048,74,72,223,Success,Pass,Very High
